temperature_c,humidity_pct,pressure_hpa,mq4_ch4_ppm,mq135_gas_ppm,sound_db,vibration_g,temp_change_rate,ch4_change_rate,Hazard_Type,Risk_Level,Recommended_Action
25.24,55.04,1007.09,1924.2,161.13,64.94,0.21,0.147,19.386,Methane Accumulation,High Risk,Boost Ventilation Fan Speed & Alert Sector
24.96,50.45,1014.65,143.36,120.99,70.55,5.39,0.003,0.516,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
21.87,61.35,1014.38,115.66,85.23,103.77,5.1,-0.04,-1.415,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
38.51,31.02,1014.08,441.52,335.44,69.4,0.31,1.11,10.601,Spontaneous Combustion / Fire,High Risk,Dispatch Fire Inspection Team & Seal Airflow
26.57,60.52,1013.66,162.06,60.22,47.4,0.24,0.017,1.024,Normal,Safe,Maintain Regular Monitoring
26.13,50.19,1010.17,153.56,63.68,53.9,0.06,0.089,-0.254,Normal,Safe,Maintain Regular Monitoring
25.58,58.45,1011.67,107.36,51.44,52.84,0.14,0.046,1.56,Normal,Safe,Maintain Regular Monitoring
31.77,88.97,1004.69,181.64,433.31,49.51,0.09,0.059,-1.877,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
42.32,43.86,1016.56,928.23,402.15,75.56,0.42,2.239,3.58,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
26.97,67.28,1014.5,243.11,62.15,121.44,2.28,-0.007,-0.347,Roof Fall / Rock Burst Risk,Critical Danger,Immediate Tunnel Evacuation: Structural Collapse Threat
23.57,63.49,1015.48,96.48,30.09,56.15,0.15,0.032,0.404,Normal,Safe,Maintain Regular Monitoring
26.13,58.63,1013.28,271.66,78.47,74.06,3.24,0.059,2.59,Worker Fall / Distress,High Risk,Dispatch Medical Team & Locate Worker via LoRa Beacon
33.04,94.46,1005.78,206.22,501.78,49.47,0.12,0.022,-1.013,Toxic Gas / Poor Ventilation,High Risk,Activate Auxiliary Air Scrubbers & Ventilate
26.55,68.59,1012.85,127.16,72.64,49,0.19,-0.005,-0.178,Normal,Safe,Maintain Regular Monitoring
23.76,58.69,1007.11,189.47,60.51,54.38,0.25,0.081,-0.584,Normal,Safe,Maintain Regular Monitoring
25.08,56.1,1016.76,162.65,87.03,60.23,0.19,-0.047,-1.823,Normal,Safe,Maintain Regular Monitoring
24.73,67.14,1009.25,213.02,83.7,47.73,0.23,0.062,1.307,Normal,Safe,Maintain Regular Monitoring
30.8,59.2,1004.1,2668.42,173.75,44.62,0.34,0.285,22.75,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.93,59.46,1009.33,1956.15,173,63.52,0.17,0.22,71.343,Methane Accumulation,Critical Danger,Immediate Evacuation & Cut Power Supply
25.07,57.32,1016.46,197.59,35.39,57.2,0.07,0.112,-1.762,Normal,Safe,Maintain Regular Monitoring
49.16,33.94,1008.96,504.93,561.87,71,0.33,3.209,3.853,Spontaneous Combustion / Fire,Critical Danger,Trigger Automated Fire Suppression & Evacuate
26.12,61.48,1012.69,185.91,92.37,55.42,0.06,0.078,0.917,Normal,Safe,Maintain Regular Monitoring
26.59,63.33,1015.13,192.87,68.64,44.14,0.14,-0.014,1.113,Normal,Safe,Maintain Regular Monitoring
