Sensor 1,Threshold 1,Sensor 2,Threshold 2,Critical Caught,Critical Recall %,False Triggers,False Trigger %,Precision %
temperature_c,26.25,humidity_pct,61.78,80,12.86,282,28.83,22.1
temperature_c,26.25,humidity_pct,63.772,60,9.65,264,26.99,18.52
temperature_c,26.25,humidity_pct,65.963,37,5.95,235,24.03,13.6
temperature_c,26.25,humidity_pct,66.98,28,4.5,225,23.01,11.07
temperature_c,26.25,humidity_pct,68.622,11,1.77,212,21.68,4.93
temperature_c,26.25,humidity_pct,71.241,3,0.48,202,20.65,1.46
temperature_c,26.25,humidity_pct,84.093,0,0.0,160,16.36,0.0
temperature_c,26.25,humidity_pct,89.922,0,0.0,80,8.18,0.0
temperature_c,27.352,humidity_pct,61.78,45,7.23,229,23.42,16.42
temperature_c,27.352,humidity_pct,63.772,33,5.31,222,22.7,12.94
temperature_c,27.352,humidity_pct,65.963,18,2.89,209,21.37,7.93
temperature_c,27.352,humidity_pct,66.98,15,2.41,206,21.06,6.79
temperature_c,27.352,humidity_pct,68.622,5,0.8,199,20.35,2.45
temperature_c,27.352,humidity_pct,71.241,3,0.48,193,19.73,1.53
temperature_c,27.352,humidity_pct,84.093,0,0.0,160,16.36,0.0
temperature_c,27.352,humidity_pct,89.922,0,0.0,80,8.18,0.0
temperature_c,28.939,humidity_pct,61.78,13,2.09,174,17.79,6.95
temperature_c,28.939,humidity_pct,63.772,9,1.45,173,17.69,4.95
temperature_c,28.939,humidity_pct,65.963,4,0.64,169,17.28,2.31
temperature_c,28.939,humidity_pct,66.98,2,0.32,169,17.28,1.17
temperature_c,28.939,humidity_pct,68.622,0,0.0,166,16.97,0.0
temperature_c,28.939,humidity_pct,71.241,0,0.0,165,16.87,0.0
temperature_c,28.939,humidity_pct,84.093,0,0.0,139,14.21,0.0
temperature_c,28.939,humidity_pct,89.922,0,0.0,68,6.95,0.0
temperature_c,30.24,humidity_pct,61.78,3,0.48,131,13.39,2.24
temperature_c,30.24,humidity_pct,63.772,2,0.32,131,13.39,1.5
temperature_c,30.24,humidity_pct,65.963,1,0.16,130,13.29,0.76
temperature_c,30.24,humidity_pct,66.98,0,0.0,130,13.29,0.0
temperature_c,30.24,humidity_pct,68.622,0,0.0,130,13.29,0.0
temperature_c,30.24,humidity_pct,71.241,0,0.0,130,13.29,0.0
temperature_c,30.24,humidity_pct,84.093,0,0.0,108,11.04,0.0
temperature_c,30.24,humidity_pct,89.922,0,0.0,58,5.93,0.0
temperature_c,32.65,humidity_pct,61.78,2,0.32,63,6.44,3.08
temperature_c,32.65,humidity_pct,63.772,1,0.16,63,6.44,1.56
temperature_c,32.65,humidity_pct,65.963,0,0.0,63,6.44,0.0
temperature_c,32.65,humidity_pct,66.98,0,0.0,63,6.44,0.0
temperature_c,32.65,humidity_pct,68.622,0,0.0,63,6.44,0.0
temperature_c,32.65,humidity_pct,71.241,0,0.0,63,6.44,0.0
temperature_c,32.65,humidity_pct,84.093,0,0.0,53,5.42,0.0
temperature_c,32.65,humidity_pct,89.922,0,0.0,25,2.56,0.0
temperature_c,37.132,humidity_pct,61.78,0,0.0,0,0.0,0.0
temperature_c,37.132,humidity_pct,63.772,0,0.0,0,0.0,0.0
temperature_c,37.132,humidity_pct,65.963,0,0.0,0,0.0,0.0
temperature_c,37.132,humidity_pct,66.98,0,0.0,0,0.0,0.0
temperature_c,37.132,humidity_pct,68.622,0,0.0,0,0.0,0.0
temperature_c,37.132,humidity_pct,71.241,0,0.0,0,0.0,0.0
temperature_c,37.132,humidity_pct,84.093,0,0.0,0,0.0,0.0
temperature_c,37.132,humidity_pct,89.922,0,0.0,0,0.0,0.0
temperature_c,44.65,humidity_pct,61.78,0,0.0,0,0.0,0.0
temperature_c,44.65,humidity_pct,63.772,0,0.0,0,0.0,0.0
temperature_c,44.65,humidity_pct,65.963,0,0.0,0,0.0,0.0
temperature_c,44.65,humidity_pct,66.98,0,0.0,0,0.0,0.0
temperature_c,44.65,humidity_pct,68.622,0,0.0,0,0.0,0.0
temperature_c,44.65,humidity_pct,71.241,0,0.0,0,0.0,0.0
temperature_c,44.65,humidity_pct,84.093,0,0.0,0,0.0,0.0
temperature_c,44.65,humidity_pct,89.922,0,0.0,0,0.0,0.0
temperature_c,51.721,humidity_pct,61.78,0,0.0,0,0.0,0.0
temperature_c,51.721,humidity_pct,63.772,0,0.0,0,0.0,0.0
temperature_c,51.721,humidity_pct,65.963,0,0.0,0,0.0,0.0
temperature_c,51.721,humidity_pct,66.98,0,0.0,0,0.0,0.0
temperature_c,51.721,humidity_pct,68.622,0,0.0,0,0.0,0.0
temperature_c,51.721,humidity_pct,71.241,0,0.0,0,0.0,0.0
temperature_c,51.721,humidity_pct,84.093,0,0.0,0,0.0,0.0
temperature_c,51.721,humidity_pct,89.922,0,0.0,0,0.0,0.0
temperature_c,26.25,pressure_hpa,1010.995,144,23.15,131,13.39,52.36
temperature_c,26.25,pressure_hpa,1011.99,110,17.68,99,10.12,52.63
temperature_c,26.25,pressure_hpa,1012.93,83,13.34,67,6.85,55.33
temperature_c,26.25,pressure_hpa,1013.412,65,10.45,57,5.83,53.28
temperature_c,26.25,pressure_hpa,1014.08,46,7.4,49,5.01,48.42
temperature_c,26.25,pressure_hpa,1014.852,30,4.82,35,3.58,46.15
temperature_c,26.25,pressure_hpa,1015.813,18,2.89,22,2.25,45.0
temperature_c,26.25,pressure_hpa,1016.93,10,1.61,11,1.12,47.62
temperature_c,27.352,pressure_hpa,1010.995,116,18.65,75,7.67,60.73
temperature_c,27.352,pressure_hpa,1011.99,84,13.5,55,5.62,60.43
temperature_c,27.352,pressure_hpa,1012.93,62,9.97,37,3.78,62.63
temperature_c,27.352,pressure_hpa,1013.412,47,7.56,29,2.97,61.84
temperature_c,27.352,pressure_hpa,1014.08,32,5.14,26,2.66,55.17
temperature_c,27.352,pressure_hpa,1014.852,18,2.89,17,1.74,51.43
temperature_c,27.352,pressure_hpa,1015.813,9,1.45,8,0.82,52.94
temperature_c,27.352,pressure_hpa,1016.93,7,1.13,3,0.31,70.0
temperature_c,28.939,pressure_hpa,1010.995,97,15.59,33,3.37,74.62
temperature_c,28.939,pressure_hpa,1011.99,70,11.25,23,2.35,75.27
temperature_c,28.939,pressure_hpa,1012.93,53,8.52,12,1.23,81.54
temperature_c,28.939,pressure_hpa,1013.412,40,6.43,11,1.12,78.43
temperature_c,28.939,pressure_hpa,1014.08,28,4.5,11,1.12,71.79
temperature_c,28.939,pressure_hpa,1014.852,17,2.73,7,0.72,70.83
temperature_c,28.939,pressure_hpa,1015.813,8,1.29,4,0.41,66.67
temperature_c,28.939,pressure_hpa,1016.93,6,0.96,2,0.2,75.0
temperature_c,30.24,pressure_hpa,1010.995,88,14.15,23,2.35,79.28
temperature_c,30.24,pressure_hpa,1011.99,66,10.61,17,1.74,79.52
temperature_c,30.24,pressure_hpa,1012.93,49,7.88,8,0.82,85.96
temperature_c,30.24,pressure_hpa,1013.412,37,5.95,7,0.72,84.09
temperature_c,30.24,pressure_hpa,1014.08,25,4.02,7,0.72,78.12
temperature_c,30.24,pressure_hpa,1014.852,14,2.25,4,0.41,77.78
temperature_c,30.24,pressure_hpa,1015.813,8,1.29,1,0.1,88.89
temperature_c,30.24,pressure_hpa,1016.93,6,0.96,0,0.0,100.0
temperature_c,32.65,pressure_hpa,1010.995,86,13.83,21,2.15,80.37
temperature_c,32.65,pressure_hpa,1011.99,65,10.45,16,1.64,80.25
temperature_c,32.65,pressure_hpa,1012.93,49,7.88,8,0.82,85.96
temperature_c,32.65,pressure_hpa,1013.412,37,5.95,7,0.72,84.09
temperature_c,32.65,pressure_hpa,1014.08,25,4.02,7,0.72,78.12
temperature_c,32.65,pressure_hpa,1014.852,14,2.25,4,0.41,77.78
temperature_c,32.65,pressure_hpa,1015.813,8,1.29,1,0.1,88.89
temperature_c,32.65,pressure_hpa,1016.93,6,0.96,0,0.0,100.0
temperature_c,37.132,pressure_hpa,1010.995,80,12.86,16,1.64,83.33
temperature_c,37.132,pressure_hpa,1011.99,61,9.81,13,1.33,82.43
temperature_c,37.132,pressure_hpa,1012.93,47,7.56,7,0.72,87.04
temperature_c,37.132,pressure_hpa,1013.412,35,5.63,6,0.61,85.37
temperature_c,37.132,pressure_hpa,1014.08,24,3.86,6,0.61,80.0
temperature_c,37.132,pressure_hpa,1014.852,14,2.25,4,0.41,77.78
temperature_c,37.132,pressure_hpa,1015.813,8,1.29,1,0.1,88.89
temperature_c,37.132,pressure_hpa,1016.93,6,0.96,0,0.0,100.0
temperature_c,44.65,pressure_hpa,1010.995,60,9.65,1,0.1,98.36
temperature_c,44.65,pressure_hpa,1011.99,44,7.07,1,0.1,97.78
temperature_c,44.65,pressure_hpa,1012.93,34,5.47,0,0.0,100.0
temperature_c,44.65,pressure_hpa,1013.412,26,4.18,0,0.0,100.0
temperature_c,44.65,pressure_hpa,1014.08,19,3.05,0,0.0,100.0
temperature_c,44.65,pressure_hpa,1014.852,10,1.61,0,0.0,100.0
temperature_c,44.65,pressure_hpa,1015.813,6,0.96,0,0.0,100.0
temperature_c,44.65,pressure_hpa,1016.93,5,0.8,0,0.0,100.0
temperature_c,51.721,pressure_hpa,1010.995,34,5.47,0,0.0,100.0
temperature_c,51.721,pressure_hpa,1011.99,23,3.7,0,0.0,100.0
temperature_c,51.721,pressure_hpa,1012.93,20,3.22,0,0.0,100.0
temperature_c,51.721,pressure_hpa,1013.412,16,2.57,0,0.0,100.0
temperature_c,51.721,pressure_hpa,1014.08,12,1.93,0,0.0,100.0
temperature_c,51.721,pressure_hpa,1014.852,6,0.96,0,0.0,100.0
temperature_c,51.721,pressure_hpa,1015.813,4,0.64,0,0.0,100.0
temperature_c,51.721,pressure_hpa,1016.93,4,0.64,0,0.0,100.0
temperature_c,26.25,mq4_ch4_ppm,215.08,369,59.32,246,25.15,60.0
temperature_c,26.25,mq4_ch4_ppm,278.816,351,56.43,185,18.92,65.49
temperature_c,26.25,mq4_ch4_ppm,435.128,317,50.96,67,6.85,82.55
temperature_c,26.25,mq4_ch4_ppm,656.57,250,40.19,54,5.52,82.24
temperature_c,26.25,mq4_ch4_ppm,900.84,182,29.26,43,4.4,80.89
temperature_c,26.25,mq4_ch4_ppm,1190.033,130,20.9,24,2.45,84.42
temperature_c,26.25,mq4_ch4_ppm,2403.872,102,16.4,4,0.41,96.23
temperature_c,26.25,mq4_ch4_ppm,3497.03,52,8.36,0,0.0,100.0
temperature_c,27.352,mq4_ch4_ppm,215.08,324,52.09,227,23.21,58.8
temperature_c,27.352,mq4_ch4_ppm,278.816,310,49.84,172,17.59,64.32
temperature_c,27.352,mq4_ch4_ppm,435.128,276,44.37,55,5.62,83.38
temperature_c,27.352,mq4_ch4_ppm,656.57,209,33.6,42,4.29,83.27
temperature_c,27.352,mq4_ch4_ppm,900.84,141,22.67,32,3.27,81.5
temperature_c,27.352,mq4_ch4_ppm,1190.033,90,14.47,18,1.84,83.33
temperature_c,27.352,mq4_ch4_ppm,2403.872,68,10.93,3,0.31,95.77
temperature_c,27.352,mq4_ch4_ppm,3497.03,30,4.82,0,0.0,100.0
temperature_c,28.939,mq4_ch4_ppm,215.08,256,41.16,185,18.92,58.05
temperature_c,28.939,mq4_ch4_ppm,278.816,249,40.03,140,14.31,64.01
temperature_c,28.939,mq4_ch4_ppm,435.128,215,34.57,39,3.99,84.65
temperature_c,28.939,mq4_ch4_ppm,656.57,148,23.79,27,2.76,84.57
temperature_c,28.939,mq4_ch4_ppm,900.84,80,12.86,18,1.84,81.63
temperature_c,28.939,mq4_ch4_ppm,1190.033,32,5.14,7,0.72,82.05
temperature_c,28.939,mq4_ch4_ppm,2403.872,25,4.02,1,0.1,96.15
temperature_c,28.939,mq4_ch4_ppm,3497.03,9,1.45,0,0.0,100.0
temperature_c,30.24,mq4_ch4_ppm,215.08,232,37.3,142,14.52,62.03
temperature_c,30.24,mq4_ch4_ppm,278.816,226,36.33,110,11.25,67.26
temperature_c,30.24,mq4_ch4_ppm,435.128,192,30.87,28,2.86,87.27
temperature_c,30.24,mq4_ch4_ppm,656.57,125,20.1,19,1.94,86.81
temperature_c,30.24,mq4_ch4_ppm,900.84,57,9.16,10,1.02,85.07
temperature_c,30.24,mq4_ch4_ppm,1190.033,10,1.61,2,0.2,83.33
temperature_c,30.24,mq4_ch4_ppm,2403.872,7,1.13,0,0.0,100.0
temperature_c,30.24,mq4_ch4_ppm,3497.03,2,0.32,0,0.0,100.0
temperature_c,32.65,mq4_ch4_ppm,215.08,223,35.85,82,8.38,73.11
temperature_c,32.65,mq4_ch4_ppm,278.816,217,34.89,71,7.26,75.35
temperature_c,32.65,mq4_ch4_ppm,435.128,183,29.42,25,2.56,87.98
temperature_c,32.65,mq4_ch4_ppm,656.57,116,18.65,16,1.64,87.88
temperature_c,32.65,mq4_ch4_ppm,900.84,48,7.72,7,0.72,87.27
temperature_c,32.65,mq4_ch4_ppm,1190.033,2,0.32,0,0.0,100.0
temperature_c,32.65,mq4_ch4_ppm,2403.872,2,0.32,0,0.0,100.0
temperature_c,32.65,mq4_ch4_ppm,3497.03,0,0.0,0,0.0,0.0
temperature_c,37.132,mq4_ch4_ppm,215.08,209,33.6,31,3.17,87.08
temperature_c,37.132,mq4_ch4_ppm,278.816,203,32.64,31,3.17,86.75
temperature_c,37.132,mq4_ch4_ppm,435.128,172,27.65,22,2.25,88.66
temperature_c,37.132,mq4_ch4_ppm,656.57,107,17.2,15,1.53,87.7
temperature_c,37.132,mq4_ch4_ppm,900.84,45,7.23,7,0.72,86.54
temperature_c,37.132,mq4_ch4_ppm,1190.033,0,0.0,0,0.0,0.0
temperature_c,37.132,mq4_ch4_ppm,2403.872,0,0.0,0,0.0,0.0
temperature_c,37.132,mq4_ch4_ppm,3497.03,0,0.0,0,0.0,0.0
temperature_c,44.65,mq4_ch4_ppm,215.08,158,25.4,2,0.2,98.75
temperature_c,44.65,mq4_ch4_ppm,278.816,156,25.08,2,0.2,98.73
temperature_c,44.65,mq4_ch4_ppm,435.128,132,21.22,2,0.2,98.51
temperature_c,44.65,mq4_ch4_ppm,656.57,83,13.34,1,0.1,98.81
temperature_c,44.65,mq4_ch4_ppm,900.84,36,5.79,0,0.0,100.0
temperature_c,44.65,mq4_ch4_ppm,1190.033,0,0.0,0,0.0,0.0
temperature_c,44.65,mq4_ch4_ppm,2403.872,0,0.0,0,0.0,0.0
temperature_c,44.65,mq4_ch4_ppm,3497.03,0,0.0,0,0.0,0.0
temperature_c,51.721,mq4_ch4_ppm,215.08,80,12.86,0,0.0,100.0
temperature_c,51.721,mq4_ch4_ppm,278.816,79,12.7,0,0.0,100.0
temperature_c,51.721,mq4_ch4_ppm,435.128,71,11.41,0,0.0,100.0
temperature_c,51.721,mq4_ch4_ppm,656.57,47,7.56,0,0.0,100.0
temperature_c,51.721,mq4_ch4_ppm,900.84,21,3.38,0,0.0,100.0
temperature_c,51.721,mq4_ch4_ppm,1190.033,0,0.0,0,0.0,0.0
temperature_c,51.721,mq4_ch4_ppm,2403.872,0,0.0,0,0.0,0.0
temperature_c,51.721,mq4_ch4_ppm,3497.03,0,0.0,0,0.0,0.0
temperature_c,26.25,mq135_gas_ppm,93.995,336,54.02,285,29.14,54.11
temperature_c,26.25,mq135_gas_ppm,117.218,301,48.39,259,26.48,53.75
temperature_c,26.25,mq135_gas_ppm,173.78,239,38.42,231,23.62,50.85
temperature_c,26.25,mq135_gas_ppm,254.158,208,33.44,192,19.63,52.0
temperature_c,26.25,mq135_gas_ppm,328.848,180,28.94,140,14.31,56.25
temperature_c,26.25,mq135_gas_ppm,403.737,153,24.6,87,8.9,63.75
temperature_c,26.25,mq135_gas_ppm,470.341,109,17.52,51,5.21,68.12
temperature_c,26.25,mq135_gas_ppm,532.443,70,11.25,10,1.02,87.5
temperature_c,27.352,mq135_gas_ppm,93.995,299,48.07,259,26.48,53.58
temperature_c,27.352,mq135_gas_ppm,117.218,275,44.21,249,25.46,52.48
temperature_c,27.352,mq135_gas_ppm,173.78,231,37.14,230,23.52,50.11
temperature_c,27.352,mq135_gas_ppm,254.158,208,33.44,192,19.63,52.0
temperature_c,27.352,mq135_gas_ppm,328.848,180,28.94,140,14.31,56.25
temperature_c,27.352,mq135_gas_ppm,403.737,153,24.6,87,8.9,63.75
temperature_c,27.352,mq135_gas_ppm,470.341,109,17.52,51,5.21,68.12
temperature_c,27.352,mq135_gas_ppm,532.443,70,11.25,10,1.02,87.5
temperature_c,28.939,mq135_gas_ppm,93.995,248,39.87,210,21.47,54.15
temperature_c,28.939,mq135_gas_ppm,117.218,239,38.42,209,21.37,53.35
temperature_c,28.939,mq135_gas_ppm,173.78,224,36.01,203,20.76,52.46
temperature_c,28.939,mq135_gas_ppm,254.158,208,33.44,172,17.59,54.74
temperature_c,28.939,mq135_gas_ppm,328.848,180,28.94,125,12.78,59.02
temperature_c,28.939,mq135_gas_ppm,403.737,153,24.6,78,7.98,66.23
temperature_c,28.939,mq135_gas_ppm,470.341,109,17.52,46,4.7,70.32
temperature_c,28.939,mq135_gas_ppm,532.443,70,11.25,9,0.92,88.61
temperature_c,30.24,mq135_gas_ppm,93.995,231,37.14,168,17.18,57.89
temperature_c,30.24,mq135_gas_ppm,117.218,230,36.98,168,17.18,57.79
temperature_c,30.24,mq135_gas_ppm,173.78,222,35.69,167,17.08,57.07
temperature_c,30.24,mq135_gas_ppm,254.158,208,33.44,146,14.93,58.76
temperature_c,30.24,mq135_gas_ppm,328.848,180,28.94,109,11.15,62.28
temperature_c,30.24,mq135_gas_ppm,403.737,153,24.6,65,6.65,70.18
temperature_c,30.24,mq135_gas_ppm,470.341,109,17.52,38,3.89,74.15
temperature_c,30.24,mq135_gas_ppm,532.443,70,11.25,6,0.61,92.11
temperature_c,32.65,mq135_gas_ppm,93.995,222,35.69,98,10.02,69.38
temperature_c,32.65,mq135_gas_ppm,117.218,222,35.69,98,10.02,69.38
temperature_c,32.65,mq135_gas_ppm,173.78,221,35.53,98,10.02,69.28
temperature_c,32.65,mq135_gas_ppm,254.158,208,33.44,88,9.0,70.27
temperature_c,32.65,mq135_gas_ppm,328.848,180,28.94,57,5.83,75.95
temperature_c,32.65,mq135_gas_ppm,403.737,153,24.6,33,3.37,82.26
temperature_c,32.65,mq135_gas_ppm,470.341,109,17.52,20,2.04,84.5
temperature_c,32.65,mq135_gas_ppm,532.443,70,11.25,5,0.51,93.33
temperature_c,37.132,mq135_gas_ppm,93.995,209,33.6,31,3.17,87.08
temperature_c,37.132,mq135_gas_ppm,117.218,209,33.6,31,3.17,87.08
temperature_c,37.132,mq135_gas_ppm,173.78,209,33.6,31,3.17,87.08
temperature_c,37.132,mq135_gas_ppm,254.158,196,31.51,25,2.56,88.69
temperature_c,37.132,mq135_gas_ppm,328.848,168,27.01,11,1.12,93.85
temperature_c,37.132,mq135_gas_ppm,403.737,141,22.67,0,0.0,100.0
temperature_c,37.132,mq135_gas_ppm,470.341,99,15.92,0,0.0,100.0
temperature_c,37.132,mq135_gas_ppm,532.443,65,10.45,0,0.0,100.0
temperature_c,44.65,mq135_gas_ppm,93.995,158,25.4,2,0.2,98.75
temperature_c,44.65,mq135_gas_ppm,117.218,158,25.4,2,0.2,98.75
temperature_c,44.65,mq135_gas_ppm,173.78,158,25.4,2,0.2,98.75
temperature_c,44.65,mq135_gas_ppm,254.158,145,23.31,1,0.1,99.32
temperature_c,44.65,mq135_gas_ppm,328.848,117,18.81,0,0.0,100.0
temperature_c,44.65,mq135_gas_ppm,403.737,93,14.95,0,0.0,100.0
temperature_c,44.65,mq135_gas_ppm,470.341,65,10.45,0,0.0,100.0
temperature_c,44.65,mq135_gas_ppm,532.443,43,6.91,0,0.0,100.0
temperature_c,51.721,mq135_gas_ppm,93.995,80,12.86,0,0.0,100.0
temperature_c,51.721,mq135_gas_ppm,117.218,80,12.86,0,0.0,100.0
temperature_c,51.721,mq135_gas_ppm,173.78,80,12.86,0,0.0,100.0
