temperature_c,humidity_pct,pressure_hpa,mq4_ch4_ppm,mq135_gas_ppm,sound_db,vibration_g,Actual_Risk,ML_Prediction,Critical_Danger_Probability,High_Risk_Probability,Moderate_Risk_Probability,Safe_Probability,V2_Prediction,V2_Escalated
28.38,60.1,1012.07,117.41,63.71,49.93,0.17,3,3,0.03,0.03,0.0,0.94,3,False
29.1,88.63,1009.44,364.92,302.12,40.83,0.08,2,2,0.0,0.02,0.98,0.0,2,False
25.71,66.28,1007.11,228.34,40.43,107.2,2.95,0,0,0.91,0.05,0.0,0.04,0,True
23.84,60.94,1011.72,180.75,108.63,110.68,3.28,0,0,0.99,0.01,0.0,0.0,0,True
32.45,85.32,1006.51,372.56,548.83,49.24,0.16,1,1,0.0,0.98,0.02,0.0,1,False
48.63,37.84,1011.64,480.86,286.95,79.45,0.33,0,0,0.96,0.04,0.0,0.0,0,True
21.17,57.42,1007.58,209.07,54.78,91.15,5.88,1,1,0.36,0.63,0.0,0.01,1,False
27.48,57.69,1018.59,1586.93,177.37,59.24,0.29,1,1,0.47,0.53,0.0,0.0,0,True
32.68,87.74,1002.46,207.32,478.77,44.36,0.08,1,1,0.0,1.0,0.0,0.0,1,False
23.9,65.23,1013.16,131.95,66.3,50.59,0.09,3,3,0.0,0.0,0.0,1.0,3,False
23.55,66.79,1012.88,138.67,58.97,52.05,0.22,3,3,0.0,0.0,0.0,1.0,3,False
33.01,90.3,1004.74,352.44,440.36,43.22,0.17,1,1,0.0,0.99,0.01,0.0,1,False
28.14,85.41,1004.51,416.99,368.96,49.9,0.09,1,1,0.0,0.99,0.0,0.01,1,False
25.48,61.9,1010.27,173.37,41.39,59.52,0.08,3,3,0.0,0.0,0.0,1.0,3,False
23.44,69.78,1009.86,102.17,64.35,73.71,0.08,3,3,0.08,0.19,0.0,0.73,3,False
42.32,43.86,1016.56,928.23,402.15,75.56,0.42,0,0,0.94,0.06,0.0,0.0,0,True
55.08,32.88,1014.99,1071.72,660.74,62.75,0.42,0,0,1.0,0.0,0.0,0.0,0,True
51.42,34.95,1017.72,833.29,329.81,56.19,0.4,0,0,0.92,0.08,0.0,0.0,0,True
28.26,61.09,1008.48,200.46,78.7,102.23,3.02,0,0,0.97,0.03,0.0,0.0,0,True
23.1,57.5,1019.51,235.5,46.2,52.84,0.1,3,3,0.15,0.1,0.0,0.75,3,False
56.82,34.86,1012.07,505.21,535.18,64.65,0.37,0,0,1.0,0.0,0.0,0.0,0,True
21.84,64.84,1012.13,34.01,32.55,65.76,0.22,3,3,0.02,0.0,0.0,0.98,3,False
22.16,67.93,1012.89,108.98,66.27,88.72,4.79,1,0,0.64,0.36,0.0,0.0,0,True
23.38,62.77,1015.5,133.66,81.29,61.64,0.14,3,3,0.0,0.0,0.0,1.0,3,False
25.0,68.45,1014.43,206.36,92.19,94.92,4.12,1,0,0.72,0.28,0.0,0.0,0,True
24.54,66.98,1018.31,134.57,40.81,57.98,0.13,3,3,0.0,0.0,0.0,1.0,3,False
47.42,39.5,1005.73,400.29,470.57,62.35,0.32,0,0,1.0,0.0,0.0,0.0,0,True
27.92,52.98,1014.0,66.57,42.58,57.17,0.23,3,3,0.01,0.02,0.0,0.97,3,False
27.42,61.16,1016.33,79.67,62.94,48.65,0.24,3,3,0.0,0.0,0.0,1.0,3,False
27.84,63.89,1014.64,205.44,95.93,54.5,0.19,3,3,0.03,0.01,0.0,0.96,3,False
23.76,61.87,1011.23,205.55,75.84,62.0,0.15,3,3,0.0,0.0,0.0,1.0,3,False
26.59,74.0,1009.17,3099.04,144.48,69.2,0.15,0,0,0.89,0.1,0.0,0.01,0,True
34.54,87.15,1007.84,355.81,414.89,45.35,0.16,1,1,0.0,1.0,0.0,0.0,1,False
22.13,63.1,1011.77,85.66,84.38,71.61,0.16,3,3,0.07,0.14,0.0,0.79,3,False
24.19,68.28,1010.82,138.84,111.07,88.87,3.18,0,0,0.62,0.37,0.0,0.01,0,True
23.69,55.93,1006.58,102.22,91.93,55.26,0.14,3,3,0.04,0.05,0.0,0.91,3,False
28.09,68.18,1002.48,1129.25,113.38,63.14,0.22,0,0,0.51,0.48,0.0,0.01,0,True
53.82,43.02,1003.38,896.33,398.97,63.57,0.42,0,0,0.99,0.01,0.0,0.0,0,True
27.6,46.95,1015.27,174.87,54.23,59.65,0.08,3,3,0.03,0.04,0.0,0.93,3,False
22.55,62.59,1011.64,229.74,64.83,90.15,2.05,0,0,0.83,0.14,0.0,0.03,0,True
27.57,65.18,1007.95,1686.27,87.31,62.03,0.33,1,0,0.52,0.47,0.0,0.01,0,True
21.79,65.8,1013.45,36.36,28.95,50.49,0.21,3,3,0.0,0.0,0.0,1.0,3,False
23.57,69.95,1016.0,249.37,97.07,115.07,4.88,0,0,0.91,0.09,0.0,0.0,0,True
31.82,89.76,1006.83,339.58,359.3,47.52,0.06,1,1,0.0,0.96,0.04,0.0,1,False
26.46,55.37,1015.88,103.59,101.8,94.87,4.74,1,0,0.69,0.31,0.0,0.0,0,True
26.33,59.02,1004.75,2334.02,111.98,53.97,0.14,0,0,0.61,0.37,0.0,0.02,0,True
24.42,56.27,1013.22,209.13,49.48,52.83,0.05,3,3,0.0,0.0,0.0,1.0,3,False
23.72,57.79,1011.77,117.08,67.25,58.75,0.21,3,3,0.0,0.0,0.0,1.0,3,False
23.79,57.37,1014.71,885.76,140.73,58.06,0.25,0,0,0.52,0.45,0.0,0.03,0,True
37.65,30.68,1007.56,798.04,376.24,71.42,0.23,1,1,0.15,0.85,0.0,0.0,1,False
51.38,44.03,1013.38,1064.77,494.37,75.47,0.34,0,0,1.0,0.0,0.0,0.0,0,True
29.77,55.62,1007.66,3389.15,82.36,68.72,0.33,0,0,0.94,0.06,0.0,0.0,0,True
27.12,63.89,1008.7,1094.12,158.66,58.85,0.29,1,0,0.54,0.46,0.0,0.0,0,True
25.59,67.82,1013.92,228.94,29.06,49.86,0.07,3,3,0.03,0.03,0.01,0.93,3,False
54.62,36.54,1004.67,881.98,464.71,70.06,0.39,0,0,1.0,0.0,0.0,0.0,0,True
28.33,93.05,1014.81,165.78,296.81,46.94,0.16,2,2,0.02,0.31,0.62,0.05,2,False
25.23,62.82,1012.29,90.22,81.49,60.38,0.15,3,3,0.0,0.0,0.0,1.0,3,False
20.51,60.85,1010.65,130.07,85.89,60.53,0.22,3,3,0.0,0.0,0.0,1.0,3,False
24.98,65.19,1015.64,77.7,99.66,56.94,0.06,3,3,0.06,0.04,0.0,0.9,3,False
27.79,63.68,1014.29,102.05,77.64,60.13,0.09,3,3,0.0,0.0,0.0,1.0,3,False
23.89,57.57,1015.59,167.55,124.38,88.42,4.71,1,1,0.13,0.87,0.0,0.0,1,False
24.77,69.98,1010.97,217.79,39.54,54.34,0.17,3,3,0.0,0.0,0.0,1.0,3,False
26.93,50.46,1005.34,3737.86,99.06,62.93,0.17,0,0,0.95,0.04,0.0,0.01,0,True
30.14,93.73,1009.39,171.71,509.58,41.59,0.12,1,1,0.0,0.93,0.07,0.0,1,False
26.8,49.9,1001.55,3180.87,123.19,62.06,0.21,0,0,0.97,0.03,0.0,0.0,0,True
26.61,60.17,1011.4,125.7,70.09,60.32,0.15,3,3,0.0,0.0,0.0,1.0,3,False
25.22,66.31,1015.89,168.14,65.7,77.45,4.46,1,1,0.08,0.91,0.0,0.01,1,False
56.53,44.12,1005.31,1024.18,300.31,65.76,0.24,0,0,0.99,0.01,0.0,0.0,0,True
24.22,54.15,1011.29,61.63,62.47,50.49,0.23,3,3,0.0,0.0,0.0,1.0,3,False
25.43,60.81,1010.91,3484.8,179.39,71.56,0.11,0,0,0.89,0.11,0.0,0.0,0,True
34.15,87.66,1001.06,309.75,248.84,45.69,0.04,2,2,0.0,0.07,0.93,0.0,2,False
32.1,87.03,996.08,342.3,516.43,40.29,0.09,1,1,0.0,0.99,0.01,0.0,1,False
28.73,66.75,1010.43,105.2,27.19,52.53,0.16,3,3,0.04,0.06,0.04,0.86,3,False
23.33,66.42,1009.1,149.28,68.03,52.7,0.22,3,3,0.0,0.0,0.0,1.0,3,False
26.14,57.19,1014.5,80.35,41.12,58.13,0.16,3,3,0.0,0.0,0.0,1.0,3,False
30.43,93.7,1012.97,377.53,319.23,39.44,0.05,2,2,0.0,0.28,0.69,0.03,2,False
28.29,63.54,1007.56,1610.3,81.97,72.53,0.29,1,0,0.62,0.35,0.0,0.03,0,True
48.15,44.92,1010.21,521.85,421.53,55.54,0.26,0,0,0.99,0.01,0.0,0.0,0,True
29.84,90.59,1000.47,253.37,315.08,40.9,0.1,2,2,0.0,0.03,0.97,0.0,2,False
27.46,68.57,1009.91,2543.97,161.01,51.32,0.28,0,0,0.79,0.2,0.0,0.01,0,True
24.96,58.49,1008.05,149.73,41.39,57.91,0.22,3,3,0.0,0.0,0.0,1.0,3,False
27.08,59.09,1001.82,4082.57,135.71,43.92,0.32,0,0,0.95,0.04,0.0,0.01,0,True
26.99,55.28,1015.76,82.35,43.85,60.76,0.09,3,3,0.0,0.0,0.0,1.0,3,False
